Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2016,Russian Federation, ,RUS,,STA,The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2016.,,,,,,,
2023,Malaysia, ,MYS,,STA,"The total stateless population in Malaysia includes 9,392 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR. The total statelessness figure reported also includes 107,678 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.",,,,,,,
2017,Haiti, ,HTI,,"REF,ASY,IDP,STA,OOC,HST,OIP",All figures relate to the end of 2016. Stateless figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.,,,,,,,
2015 - 2018,Poland, ,POL,,STA,"Figure is from the 2011 census, likely to include 2,020 persons registered as stateless by the authorities.",,,,,,,
2023,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 2,089 stateless persons who are also counted as refugees or asylum-seekers. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",,,,,,,
2016 - 2017,Cote d'Ivoire, ,CIV,,STA,Figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2016. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.,,,,,,,
2023,Thailand, ,THA,,STA,"The total statelessness figure includes 586,548 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2023. The figure includes 584 stateless persons of Rohingya ethnicity from Myanmar who are also counted as refugees.",,,,,,,
2021 - 2022,Kenya, ,KEN,,STA,"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities, taking account of the registration by the Government of Kenya in 2020 of 1,670 stateless persons of Shona descent. These individuals were granted Kenyan citizenship in 2021.",,,,,,,
2015,Syrian Arab Rep.,Iraq,SYR,IRQ,"REF,STA","Refugee figure for Iraqis and Stateless persons in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 18,300 Iraqis at the end of 2015.",,,,,,,
2021,Belgium, ,BEL,,"REF,ASY,IDP,STA,OOC,HST,OIP","The data is based on the registered population as of end-2020, as data for 2021 was not available at time of publication apart from the data on asylum-seekers, which was sourced from Eurostat, and resettlement which was sourced from the Federal Agency for the Reception of Asylum Seekers.",,,,,,,
2020,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK's statelessness figure shows the number of stateless individuals recognized through the UK's stateless determination procedure since it began in 2013. Since 2019, the total figure has been corrected to only include initial grants of leave following individuals’ recognition as stateless.",,,,,,,
2024 - 2025,Greece, ,GRC,,STA,"With regards to stateless statistics, the figure for non-displaced stateless is based on results from the 2021 Population Census, deducting the figures of stateless refugees and stateless asylum-seekers.",,,,,,,
2018,Myanmar, ,MMR,,STA,"The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar.The figure of stateless persons in Rakhine state has been estimated on the basis of the 2014 census report and 2017 General Administration Department (GAD) of Ministry of Home Affairs (MoHA) data. It does not include an estimated 125,000 stateless IDPs who are also of concern under the statelessness mandate because they are already included within the IDP figures. In Rakhine State, the  total number of stateless persons were estimated to be approximately one million in 2014 according to the Government census report.Revisions have been made to take into account the number of stateless persons who fled to Bangladesh during 2017. The number of remaining stateless persons residing in Maungdaw area as of end of December 2017 is highly uncertain as no reliable comprehensive data is available and access has been severely constrained.Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose citizenship has not yet been confirmed.",,,,,,,
2025,Canada, ,CAN,,REF,"Naturalization figures refer to the admission of protected persons as permanent residents of Canada. Mid-year stock refers to protected persons who are yet to acquire permanent resident status. Updated figures for the number of Ukrainians within the Canada-Ukraine authorization for emergency travel (CUAET) program led to an increase of 158,600 from the previously reported figure of people in a refugee-like situation to 242,100.",,,,,,,
2018,Albania, ,ALB,,STA,Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2018.,,,,,,,
2019 - 2024,Albania, ,ALB,,"REF,",Refugees includes people in refugee-like situations,,,,,,,
2024,Thailand, ,THA,,REF,"In Thailand, the number of new refugee arrivals is not available, but the Operation Centre for Displaced Persons, Ministry of Interior of Thailand, estimates that 52,000 refugees fled Myanmar and subsequently returned home from Thailand’s Temporary Safety Areas.",,,,,,,
2025,Norway, ,NOR,,REF,"With regards to refugee statistics, the number of recognized refugees in Norway are based on data reported by authorities of persons with valid residence permits for asylum as of 1 January 2025, adding increases (e.g. recognitions, resettlement) and deducting decreases (e.g. refugee status cessation and naturalizations) during the first half of 2025 as reported by authorities, and adding the stock of temporary protection holders in Norway by mid-2025.",,,,,,,
2022,Pakistan, ,PAK,,REF,"The 1.7 million refugees includes around 1,316,800 registered refugees, around 140,900 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 286,100 Afghans who arrived in the country on or after 1 January 2021.",,,,,,,
2015 - 2016,Türkiye,State of Palestine,TUR,PSE,REF,Refers to Palestinians under the UNHCR mandate only.,,,,,,,
2023,Tajikistan, ,TJK,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 3,000 people of various origins in Tajikistan who may be in need of international protection.",,,,,,,
2022,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 6,176 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2023,Kazakhstan, ,KAZ,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 42,412 people of various origins in Kazakhstan who may be in need of international protection.",,,,,,,
2021,Spain, ,ESP,,REF,"The overall figures for Spain include refugee status (11%), subsidiary protection (16%) and humanitarian reasons (73%).",,,,,,,
2022,Ukraine, ,UKR,,"REF,ASY,IDP,STA,OOC,HST,OIP","UNHCR continues to report on the 2,534 refugees and 36,241 stateless people until their status and whereabouts can be ascertained. For asylum-seekers, end of year figures account also for those who confirmed their spontaneous departure to UNHCR from February 2022. The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.",,,,,,,
2015,Papua New Guinea,Indonesia,PNG,IDN,REF,Refugee population refers to the end of 2014.,,,,,,,
2018,Bangladesh, ,BGD,,STA,"The figure reported under “Stateless people including displaced Rohingya population from Myanmar” relates to stateless persons who are also refugees from Myanmar, mainly from Rakhine State. This figure exceptionally includes 906,635 stateless refugees who are also counted in the column under “Refugees” in Annex Table 1. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both refugees and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly.",,,,,,,
2020,Angola, ,AGO,,"REF,ASY,IDP,STA,OOC,HST,OIP","The numbers refer to mid-2020, as data for end-2020 was not available at time of publication.",,,,,,,
2025,Austria, ,AUT,,REF,"Official statistics on the size of the refugee population are not available. UNHCR refugee population estimates is based on the cumulative number of recognized asylum-seekers over the past 10 years, plus the reported number of beneficiaries of Temporary Protection in the country by mid-2025.",,,,,,,
2023,Italy, ,ITA,,REF,"The number of refugees was rebased using updated data on the number of residence permit holder with refugee status and temporary protection holders by the end of 2022, available from Eurostat.",,,,,,,
2018,Nauru, ,NRU,,"REF,ASY,IDP,STA,OOC,HST,OIP",The data was provided by the Government on 9 January 2019.,,,,,,,
2015 - 2016,China,Viet Nam,CHN,VNM,REF,"The 300,000 Vietnamese refugees are well integrated and in practice receive protection from the Government of the People’s Republic of China.",,,,,,,
2016,Angola,Dem. Rep. of the Congo,AGO,COD,REF,Refugee population refers to the end of 2015.,,,,,,,
2024,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.7 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (7 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 7 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/.",,,,,,,
2021,Albania, ,ALB,,STA,"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness).",,,,,,,
2018,Germany, ,DEU,,STA,This figure is based on the number of stateless persons registered in the German Central Aliens Register as being “stateless”. The number of stateless persons counted as asylum seekers as well as the number of stateless counted under “refugee population” have been deducted. Persons registered under the category “undefined nationality” are not included in the statistics.,,,,,,,
2020,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 874 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Indonesia for the first time in 2019. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",,,,,,,
2025,Italy, ,ITA,,REF,"The total number of refugees by mid-2025 is an estimation based on the data on recognized refugees by end-2024, adding the recognitions during the first half of 2025 and deducting the recognitions during the first half of 2015, to which the total number of temporary protection status holders by mid-year was added.",,,,,,,
2023 - 2024,United States of America, ,USA,,REF,The United States of America has also offered temporary status in certain circumstances to people in need of international protection. UNHCR is in discussions with the U.S. government about how to best reflect such datapoints for all relevant populations in future reporting cycles.,,,,,,,
2015 - 2016,Greece, ,GRC,,STA,"Includes people deprived of their citizenship under previous nationality legislation, stateless individuals with permanent residence who are recognized as “stateless foreigners” and other stateless persons resident in Greece.",,,,,,,
2023,Pakistan,Afghanistan,PAK,AFG,REF,"The 2.0 million refugees include around 1,371,400 registered refugees and around 143,900 unregistered members of registered families who were recorded through the documentation renewal and information verification exercise (DRIVE) and are being verified at the time of reporting. It also includes an estimated 472,900 Afghans who sought asylum in Pakistan, following transition in Afghanistan in August 2021. In total, some 600,000 Afghans have arrived in Pakistan since then, according to the Government estimates.",,,,,,,
2015,Bosnia and Herzegovina, ,BIH,,STA,"Figure adjusted to reflect the results of a verification exercise, identification of new cases and the number of individuals who had their nationality confirmed in 2014 and 2015.",,,,,,,
2024 - 2025,Saudi Arabia, ,SAU,,ASY,"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 3,900 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",,,,,,,
2025,Nepal, ,NPL,,STA,"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation. 477 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State, are reported in Nepal.",,,,,,,
2024,Uzbekistan, ,UZB,,STA,"Authorities in Uzbekistan confirmed that the number of stateless persons with permanent residence has decreased below 20,000, leading to a revision of the previous statistics as of 31 December 2023. The figures will be reviewed once official data for 2024 becomes available. Information on categories of statelessness, other than stateless persons with permanent residence is unavailable.",,,,,,,
2020,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 160 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 209,007 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2024,South Sudan, ,SSD,,STA,"The reported figure is a preliminary estimate of persons of undetermined nationality by UNHCR. The start-year estimate is based on the UNHCR 2018 statelessness study which documents specific profiles of groups at risk of statelessness in South Sudan. During 2024, 19,561 people at risk of statelessness were assessed and issued nationality certificates. 27,411 additional people of undetermined nationality status were identified.",,,,,,,
2019 - 2020,Cote d'Ivoire, ,CIV,,STA,The new statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR.,,,,,,,
2015 - 2017,Ukraine,Ukraine,UKR,UKR,IDP,"IDP figure in Ukraine includes 800,000 people who are in an IDP-like situation.",,,,,,,
2022 - 2025,Mexico, ,MEX,,IDP,"The IDP figure can be found at CONAPO (2021) ""Diagnóstico nacional sobre la situación del desplazamiento forzado interno en México"" (https://www.gob.mx/cms/uploads/attachment/file/681782/Diagn_stico_nacional_sobre_la_situaci_n_del_desplazamiento_forzado_interno.pdf), where it is mentioned that 262,411 IDPs were displaced due to insecurity causes (pg18) and 24,376 IDPs due to disasters (pg 49). These calculations are based on 2020 Population and Housing Census carried out by INEGI.",,,,,,,
2025,Montenegro, ,MNE,,STA,"With regards to stateless statistics, in November 2017, jointly with the Ministry of the Interior of Montenegro (MoI) and the Ministry of Labor and Social Welfare, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved legal status and persons at risk of statelessness, known to UNHCR at that time. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities of Montenegro. Based on the verification results, in 2018 UNHCR reported at least 605 persons at risk of statelessness (145 at risk of statelessness and 460 in a statelessness like situation). During 2024 and 2025 their number decreased by 93 persons. However, an additional 67 persons at risk of statelessness were identified in the field, leading to the total number of 380 persons at risk of statelessness at the end of June 2025.  In 2018, Montenegro introduced formal statelessness determination procedure in its legal system. By the end of June 2025, through that procedure, 10 persons were living as officially recognized stateless persons in Montenegro .",,,,,,,
2019,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 169 persons fall under the Republic of Latvia’s Law on Stateless Persons of 17 February 2004. 216,682 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2023,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 159 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 180,455 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2016,Malaysia, ,MYS,,STA,"Updated figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2016 874 persons of those registered acquired Malaysian nationality.",,,,,,,
2018,Uzbekistan, ,UZB,,STA,"The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in 2010. The figure has been adjusted to reflect that citizenship of Uzbekistan has been granted to 6,761 persons since December 2016.",,,,,,,
2025,Greece, ,GRC,,REF,"With regards to refugee statistics, the number of refugees by mid-2025 correspond to data on individuals holding active residence permits under refugee status or temporary protection as of June 2025.",,,,,,,
2023,Iceland, ,ISL,,STA,The decrease in the stateless population in Iceland between 2022 and 2023 is due to de-duplication of figures reported in previous years.,,,,,,,
2022,Montenegro, ,MNE,,STA,"In November 2017, jointly with the MoI and the MLSW, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved status issues, including those at potential risk of statelessness. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities. Based on the verification results, UNHCR reported on at least 145 persons at risk of statelessness and 460 in a statelessness like situation.  During 2022 their number decreased for 46 persons, however new 47 persons at risk of statelessness were identified through a formal statelessness determination procedure introduced in 2018, leading to the total number of 494 persons at risk of statelessness at the end of 2022. By the end of 2022, 9 more persons were recognized as stateless by the Ministry of Interior of Montenegro. Some 46 persons acquired nationality during the year.",,,,,,,
2016,Angola, ,AGO,,ASY,Pending asylum applications refer to the end of 2015.,,,,,,,
2025, ,State of Palestine,,PSE,REF,Refers to Palestinian refugees under UNHCR's mandate only.,,,,,,,
2025,South Sudan, ,SSD,,STA,"The reported figure is a preliminary estimate of persons of undetermined nationality by UNHCR. In 2025, 18,000 people at risk of statelessness were assessed, most of who are being assisted in obtaining  nationality certificates.",,,,,,,
2021,Pakistan, ,PAK,,REF,"The 1.5 million refugees includes around 1,252,800 registered refugees, around 129,700 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 108,000 Afghans who arrived in the country on or after 1 January 2021.",,,,,,,
2023,Bulgaria, ,BGR,,STA,The decrease reflects acquisition or confirmation of nationality and updated estimates of stateless refugees in Bulgaria.,,,,,,,
2020,United States of America, ,USA,,ASY,"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.5 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",,,,,,,
2020,Nepal, ,NPL,,STA,"Various studies estimate that a large number of individuals lack citizenship certificates in Nepal. While these individuals are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation. 371 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State, are reported in Nepal. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Nepal for the first time in 2020.",,,,,,,
2021,Italy, ,ITA,,STA,"This figure is a combination of data published by the National Institute of Statistics (552 as of 1 January 2021), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy (see the advocacy paper of the Working Group on Statelessness, https://tavoloapolidia.org/app/uploads/2021/09/Advocacy-Paper-Tavolo-Apolidia_2021_def.pdf).",,,,,,,
2023,Denmark, ,DNK,,STA,The decrease in the stateless population in Denmark between 2022 and 2023 is due to de-duplication of figures reported in previous years.,,,,,,,
2017,Germany, ,DEU,,REF,The data do not include 736 Syrians who arrived under admission programmes established by the German Laender.,,,,,,,
2022,Philippines, ,PHL,,STA,"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality. The total statelessness figure reported also includes 11 stateless persons of Rohingya ethnicity who are also counted as refugee or asylum-seeker from Myanmar, mainly from Rakhine State.",,,,,,,
2024 - 2025,Lebanon, ,LBN,,STA,"The estimated figure of stateless persons in Lebanon is around 40,000. However, there is no official data on the scope of statelessness in Lebanon. Recent studies, including a 2021 study in Akkar undertaken by UNHCR and SIREN Associates, indicate that an estimated 27,000 to 40,000 persons in Lebanon lack a nationality. This does not include any estimate of statelessness amongst populations displaced to Lebanon, or of populations that may be at risk of statelessness. This reported figure will be reviewed as more information becomes available.",,,,,,,
2021,Uganda, ,UGA,,STA,The figure represents a rudimentary estimate of in situ stateless persons. These estimates were provided by representatives from these unrecognized communities. The estimated figures have not been verified or confirmed by the government of Uganda and UNHCR and UNHCR is planning to support government efforts to gather official statistics on stateless persons and persons of undetermined nationality in Uganda.,,,,,,,
2016,Syrian Arab Rep.,Iraq,SYR,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR is assisting 16,900 Iraqis at the end of 2016.",,,,,,,
2022,Canada, ,CAN,,REF,"A population census in 2021, resulted in a revision of the number of persons under international protection living in Canada, which was previously estimated by UNHCR. Year-end stock refers to protected persons who are yet to acquire permanent resident status.",,,,,,,
2022,Japan, ,JPN,,REF,"In 2022, people provided international protection on the basis of the humanitarian situation in their country of origin were reported as in a refugee-like situation.",,,,,,,
2016,Philippines, ,PHL,,STA,"The updated statelessness figure is based on a registration exercise covering 28 municipalities that has taken place between 2014 and 2016. 4,112 of the registered group were confirmed as Filipino, Indonesian or dual nationals during 2016.",,,,,,,
2025,Guatemala, ,GTM,,IDP,"The first official estimate of the number of IDPs is reported in Guatemala. The figure of 573,000 IDPs is derived from the 2023 National Living Conditions Survey.",,,,,,,
2019,Colombia, ,COL,,STA,"With regard to the statelessness figures, in 2019, Colombia granted nationality by birth to 28,500 children with undetermined nationality born in Colombia to Venezuelan parents displaced abroad. As these children were both identified as persons with undetermined nationality and granted Colombian nationality in 2019, there was no impact on the figures reported.",,,,,,,
2017,Russian Federation, ,RUS,,STA,The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2017.,,,,,,,
2018,Kazakhstan, ,KAZ,,ASY,"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 3 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",,,,,,,
2022,South Africa, ,ZAF,,"REF,ASY,IDP,STA,OOC,HST,OIP","In South Africa, all refugees and asylum-seekers with valid permits were considered to be active during the COVID-19 pandemic era as long as their permit’s expiry dates were after the breakout of the pandemic. With the resumption of normal services in 2022, many permits have been inactivated and are therefore considered to be administrative closures.  In total, some 72,200 individuals either did not extend their permits or the extended permits became inactive by the end of the year. Individuals whose permits have been inactivated can reapply although asylum-seekers and refugees have reported challenges in accessing the online renewal system.",,,,,,,
2020,Croatia, ,HRV,,STA,Figure from the 2011 census. It includes 27 persons registered as stateless by the Government of Croatia.,,,,,,,
2019,Tajikistan, ,TJK,,STA,Figure based on a registration exercise in three regions and 840 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.,,,,,,,
2025,Tajikistan, ,TJK,,STA,"The figures are based on a registration exercise in 2015 in three regions, leading to the registration of 842 people as stateless by the Ministry of Internal Affairs of Tajikistan and has increased until mid-2025 to 1,582, as additional people were identified. The remaining 2,493 persons reflects individuals identified by UNHCR partners as at risk of statelessness or with undetermined nationality awaiting a solution from the government, as well as individuals who obtained residency permits for stateless persons reported by UNHCR partners. During the first half of 2025, 744 people were able to acquire nationality.",,,,,,,
2015,Bangladesh,Myanmar,BGD,MMR,REF,"The total figure includes 200,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",,,,,,,
2024,Lebanon, ,LBN,,REF,"The Lebanese government estimates that 1.5 million Syrians are in Lebanon (some 755,400 registered by UNHCR as well as 10,000 asylum-seekers and refugees of other nationalities).",,,,,,,
2015 - 2021,Czechia, ,CZE,,STA,Figure from the 2011 census.,,,,,,,
2024 - 2025,Egypt, ,EGY,,STA,"The number of reported stateless people reflects only those registered with, or otherwise individually known to, UNHCR. It does not include an estimate of all stateless people in the country.",,,,,,,
2021,Iran (Islamic Rep. of), ,IRN,,REF,"This includes around 770,500 refugees and 27,800 UNHCR pre-registered new arrivals, reported as refugee-like. Based on information received from the Government in October 2020, the Islamic Republic of Iran hosts 800,000 refugees, of which 780,000 are Afghan Amayesh cardholders and 20,000 are Iraqi Hoviat cardholders. These cards effectively offer refugee status to their holders. UNHCR has been in continuous engagement with the authorities in relation to these figures ever since. In view of the absence of updated data, UNHCR sought to estimate the changes in the refugee population considering the natural growth and onward movements, estimating the total to be some 770,000 refugees (out of which 750,000 were Afghans and 20,000 Iraqis).",,,,,,,
2016,Jordan,Iraq,JOR,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,900 Iraqis at the end of 2016. The refugee population in Jordan includes 33,100 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2025,Thailand, ,THA,,STA,"The total statelessness figure includes 598,800 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of June 2025, as well as other stateless individuals known to UNHCR, including permanent residents of Thailand who have not yet been granted nationality.",,,,,,,
